🎯 Sovereign Watcher: Monitoring for Prop Firm One-Shot Entry...
📊 Target Entry: $69,050
🛡️ Stop Loss: $68,650
🚀 Take Profit: $73,750
📦 Position Size: 0.75 BTC
--------------------------------------------------
⌛ 05:38:09 | BTC: $69,672.07 | Distance to Entry: $622.07
⌛ 05:38:39 | BTC: $69,663.21 | Distance to Entry: $613.21
⌛ 05:39:09 | BTC: $69,663.77 | Distance to Entry: $613.77
⌛ 05:39:39 | BTC: $69,666.21 | Distance to Entry: $616.21
⌛ 05:40:10 | BTC: $69,674.12 | Distance to Entry: $624.12
⌛ 05:40:40 | BTC: $69,659.74 | Distance to Entry: $609.74
⌛ 05:41:10 | BTC: $69,659.75 | Distance to Entry: $609.75
⌛ 01:58:37 | BTC: $70,251.67 | Distance to Entry: $1,201.67
⌛ 01:59:07 | BTC: $70,242.52 | Distance to Entry: $1,192.52
⌛ 01:59:37 | BTC: $70,242.52 | Distance to Entry: $1,192.52
⌛ 02:00:07 | BTC: $70,237.99 | Distance to Entry: $1,187.99
⌛ 02:00:37 | BTC: $70,220.01 | Distance to Entry: $1,170.01
⌛ 02:01:07 | BTC: $70,203.17 | Distance to Entry: $1,153.17
⌛ 02:01:37 | BTC: $70,234.44 | Distance to Entry: $1,184.44
⌛ 02:02:07 | BTC: $70,239.24 | Distance to Entry: $1,189.24
⌛ 02:02:38 | BTC: $70,236.01 | Distance to Entry: $1,186.01
⌛ 02:03:08 | BTC: $70,206.12 | Distance to Entry: $1,156.12
⌛ 02:03:38 | BTC: $70,214.01 | Distance to Entry: $1,164.01
⌛ 02:04:08 | BTC: $70,201.98 | Distance to Entry: $1,151.98
⌛ 02:04:38 | BTC: $70,206.01 | Distance to Entry: $1,156.01
⌛ 02:05:08 | BTC: $70,213.28 | Distance to Entry: $1,163.28
⌛ 02:05:38 | BTC: $70,228.80 | Distance to Entry: $1,178.80
⌛ 02:06:08 | BTC: $70,244.00 | Distance to Entry: $1,194.00
⌛ 02:06:38 | BTC: $70,228.66 | Distance to Entry: $1,178.66
⌛ 02:07:09 | BTC: $70,242.01 | Distance to Entry: $1,192.01
⌛ 02:07:39 | BTC: $70,239.16 | Distance to Entry: $1,189.16
⌛ 02:08:09 | BTC: $70,232.22 | Distance to Entry: $1,182.22
⌛ 02:08:39 | BTC: $70,235.09 | Distance to Entry: $1,185.09
⌛ 02:09:09 | BTC: $70,229.37 | Distance to Entry: $1,179.37
⌛ 02:09:39 | BTC: $70,228.31 | Distance to Entry: $1,178.31
⌛ 02:10:09 | BTC: $70,220.03 | Distance to Entry: $1,170.03
⌛ 02:10:39 | BTC: $70,204.81 | Distance to Entry: $1,154.81
⌛ 02:11:09 | BTC: $70,213.36 | Distance to Entry: $1,163.36
⌛ 02:11:40 | BTC: $70,185.01 | Distance to Entry: $1,135.01
⌛ 02:12:10 | BTC: $70,188.08 | Distance to Entry: $1,138.08
⌛ 02:12:40 | BTC: $70,189.87 | Distance to Entry: $1,139.87
⌛ 02:13:10 | BTC: $70,184.02 | Distance to Entry: $1,134.02
⌛ 02:13:40 | BTC: $70,156.45 | Distance to Entry: $1,106.45
⌛ 02:14:10 | BTC: $70,179.56 | Distance to Entry: $1,129.56
⌛ 02:14:40 | BTC: $70,208.85 | Distance to Entry: $1,158.85
⌛ 02:15:10 | BTC: $70,195.72 | Distance to Entry: $1,145.72
⌛ 02:15:41 | BTC: $70,197.82 | Distance to Entry: $1,147.82
⌛ 02:16:11 | BTC: $70,173.24 | Distance to Entry: $1,123.24
⌛ 02:16:41 | BTC: $70,197.83 | Distance to Entry: $1,147.83
⌛ 02:17:11 | BTC: $70,248.58 | Distance to Entry: $1,198.58
⌛ 02:17:41 | BTC: $70,264.08 | Distance to Entry: $1,214.08
⌛ 02:18:11 | BTC: $70,239.28 | Distance to Entry: $1,189.28
⌛ 02:18:41 | BTC: $70,254.19 | Distance to Entry: $1,204.19
⌛ 02:19:11 | BTC: $70,248.19 | Distance to Entry: $1,198.19
⌛ 02:19:41 | BTC: $70,235.11 | Distance to Entry: $1,185.11
⌛ 02:20:12 | BTC: $70,244.80 | Distance to Entry: $1,194.80
⌛ 02:20:42 | BTC: $70,298.52 | Distance to Entry: $1,248.52
⌛ 02:21:12 | BTC: $70,272.54 | Distance to Entry: $1,222.54
⌛ 02:21:42 | BTC: $70,255.02 | Distance to Entry: $1,205.02
⌛ 02:22:12 | BTC: $70,289.57 | Distance to Entry: $1,239.57
⌛ 02:22:42 | BTC: $70,284.79 | Distance to Entry: $1,234.79
⌛ 02:23:12 | BTC: $70,291.98 | Distance to Entry: $1,241.98
⌛ 02:23:42 | BTC: $70,335.58 | Distance to Entry: $1,285.58
⌛ 02:24:12 | BTC: $70,306.56 | Distance to Entry: $1,256.56
⌛ 02:24:43 | BTC: $70,331.99 | Distance to Entry: $1,281.99
⌛ 02:25:13 | BTC: $70,370.70 | Distance to Entry: $1,320.70
⌛ 02:25:43 | BTC: $70,405.11 | Distance to Entry: $1,355.11
⌛ 02:26:13 | BTC: $70,429.68 | Distance to Entry: $1,379.68
⌛ 02:26:43 | BTC: $70,433.81 | Distance to Entry: $1,383.81
⌛ 02:27:13 | BTC: $70,455.79 | Distance to Entry: $1,405.79
⌛ 02:27:43 | BTC: $70,441.04 | Distance to Entry: $1,391.04
⌛ 02:28:13 | BTC: $70,434.05 | Distance to Entry: $1,384.05
⌛ 02:28:43 | BTC: $70,424.01 | Distance to Entry: $1,374.01
⌛ 02:29:14 | BTC: $70,423.39 | Distance to Entry: $1,373.39
⌛ 02:29:44 | BTC: $70,367.58 | Distance to Entry: $1,317.58
⌛ 02:30:14 | BTC: $70,344.96 | Distance to Entry: $1,294.96
⌛ 02:30:44 | BTC: $70,360.80 | Distance to Entry: $1,310.80
⌛ 02:31:14 | BTC: $70,366.22 | Distance to Entry: $1,316.22
⌛ 02:31:44 | BTC: $70,396.62 | Distance to Entry: $1,346.62
⌛ 02:32:14 | BTC: $70,425.32 | Distance to Entry: $1,375.32
⌛ 02:32:44 | BTC: $70,433.02 | Distance to Entry: $1,383.02
⌛ 02:33:15 | BTC: $70,438.66 | Distance to Entry: $1,388.66
⌛ 02:33:45 | BTC: $70,413.62 | Distance to Entry: $1,363.62
⌛ 02:34:15 | BTC: $70,412.01 | Distance to Entry: $1,362.01
⌛ 02:34:45 | BTC: $70,420.48 | Distance to Entry: $1,370.48
⌛ 02:35:17 | BTC: $70,458.65 | Distance to Entry: $1,408.65
⌛ 02:35:47 | BTC: $70,490.00 | Distance to Entry: $1,440.00
⌛ 02:36:17 | BTC: $70,471.12 | Distance to Entry: $1,421.12
⌛ 02:36:47 | BTC: $70,483.00 | Distance to Entry: $1,433.00
⌛ 02:37:17 | BTC: $70,485.58 | Distance to Entry: $1,435.58
⌛ 02:37:47 | BTC: $70,458.67 | Distance to Entry: $1,408.67
⌛ 02:38:17 | BTC: $70,445.32 | Distance to Entry: $1,395.32
⌛ 02:38:47 | BTC: $70,462.01 | Distance to Entry: $1,412.01
⌛ 02:39:17 | BTC: $70,448.64 | Distance to Entry: $1,398.64
⌛ 02:39:47 | BTC: $70,437.97 | Distance to Entry: $1,387.97
⌛ 02:40:18 | BTC: $70,388.44 | Distance to Entry: $1,338.44
⌛ 02:40:48 | BTC: $70,388.29 | Distance to Entry: $1,338.29
⌛ 02:41:18 | BTC: $70,370.71 | Distance to Entry: $1,320.71
⌛ 02:41:48 | BTC: $70,396.35 | Distance to Entry: $1,346.35
⌛ 02:42:18 | BTC: $70,394.00 | Distance to Entry: $1,344.00
⌛ 02:42:48 | BTC: $70,405.93 | Distance to Entry: $1,355.93
⌛ 02:43:18 | BTC: $70,398.76 | Distance to Entry: $1,348.76
⌛ 02:43:48 | BTC: $70,392.00 | Distance to Entry: $1,342.00
⌛ 02:44:18 | BTC: $70,392.00 | Distance to Entry: $1,342.00
⌛ 02:44:49 | BTC: $70,375.88 | Distance to Entry: $1,325.88
⌛ 02:45:19 | BTC: $70,346.88 | Distance to Entry: $1,296.88
⌛ 02:45:49 | BTC: $70,355.16 | Distance to Entry: $1,305.16
⌛ 02:46:19 | BTC: $70,381.00 | Distance to Entry: $1,331.00
⌛ 02:46:49 | BTC: $70,366.47 | Distance to Entry: $1,316.47
⌛ 02:47:19 | BTC: $70,327.08 | Distance to Entry: $1,277.08
⌛ 02:47:49 | BTC: $70,326.19 | Distance to Entry: $1,276.19
⌛ 02:48:20 | BTC: $70,297.30 | Distance to Entry: $1,247.30
⌛ 02:48:50 | BTC: $70,329.94 | Distance to Entry: $1,279.94
⌛ 02:49:20 | BTC: $70,313.80 | Distance to Entry: $1,263.80
⌛ 02:49:50 | BTC: $70,298.67 | Distance to Entry: $1,248.67
⌛ 02:50:20 | BTC: $70,285.71 | Distance to Entry: $1,235.71
⌛ 02:50:50 | BTC: $70,298.88 | Distance to Entry: $1,248.88
⌛ 02:51:20 | BTC: $70,283.32 | Distance to Entry: $1,233.32
⌛ 02:51:50 | BTC: $70,287.84 | Distance to Entry: $1,237.84
⌛ 02:52:20 | BTC: $70,264.01 | Distance to Entry: $1,214.01
⌛ 02:52:51 | BTC: $70,298.86 | Distance to Entry: $1,248.86
⌛ 02:53:21 | BTC: $70,322.00 | Distance to Entry: $1,272.00
⌛ 02:53:51 | BTC: $70,332.03 | Distance to Entry: $1,282.03
⌛ 02:54:21 | BTC: $70,325.12 | Distance to Entry: $1,275.12
⌛ 02:54:51 | BTC: $70,324.08 | Distance to Entry: $1,274.08
⌛ 02:55:21 | BTC: $70,355.16 | Distance to Entry: $1,305.16
⌛ 02:55:51 | BTC: $70,379.76 | Distance to Entry: $1,329.76
⌛ 02:56:21 | BTC: $70,351.82 | Distance to Entry: $1,301.82
⌛ 02:56:52 | BTC: $70,344.04 | Distance to Entry: $1,294.04
⌛ 02:57:22 | BTC: $70,358.21 | Distance to Entry: $1,308.21
⌛ 02:57:52 | BTC: $70,375.86 | Distance to Entry: $1,325.86
⌛ 02:58:22 | BTC: $70,358.80 | Distance to Entry: $1,308.80
⌛ 02:58:52 | BTC: $70,378.01 | Distance to Entry: $1,328.01
⌛ 02:59:22 | BTC: $70,376.81 | Distance to Entry: $1,326.81
⌛ 02:59:52 | BTC: $70,373.96 | Distance to Entry: $1,323.96
⌛ 03:00:22 | BTC: $70,381.19 | Distance to Entry: $1,331.19
⌛ 03:00:53 | BTC: $70,342.75 | Distance to Entry: $1,292.75
⌛ 03:01:23 | BTC: $70,354.00 | Distance to Entry: $1,304.00
⌛ 03:01:53 | BTC: $70,327.99 | Distance to Entry: $1,277.99
⌛ 03:02:23 | BTC: $70,321.76 | Distance to Entry: $1,271.76
⌛ 03:02:53 | BTC: $70,311.90 | Distance to Entry: $1,261.90
⌛ 03:03:23 | BTC: $70,327.91 | Distance to Entry: $1,277.91
⌛ 03:03:53 | BTC: $70,334.45 | Distance to Entry: $1,284.45
⌛ 03:04:23 | BTC: $70,359.31 | Distance to Entry: $1,309.31
⌛ 03:04:53 | BTC: $70,361.99 | Distance to Entry: $1,311.99
⌛ 03:05:24 | BTC: $70,375.86 | Distance to Entry: $1,325.86
⌛ 03:05:54 | BTC: $70,337.66 | Distance to Entry: $1,287.66
⌛ 03:06:24 | BTC: $70,341.36 | Distance to Entry: $1,291.36
⌛ 03:06:54 | BTC: $70,338.96 | Distance to Entry: $1,288.96
⌛ 03:07:24 | BTC: $70,351.12 | Distance to Entry: $1,301.12
⌛ 03:07:54 | BTC: $70,335.52 | Distance to Entry: $1,285.52
⌛ 03:08:24 | BTC: $70,315.10 | Distance to Entry: $1,265.10
⌛ 03:08:54 | BTC: $70,287.89 | Distance to Entry: $1,237.89
⌛ 03:09:24 | BTC: $70,293.92 | Distance to Entry: $1,243.92
⌛ 03:09:55 | BTC: $70,276.81 | Distance to Entry: $1,226.81
⌛ 03:10:25 | BTC: $70,279.11 | Distance to Entry: $1,229.11
⌛ 03:10:55 | BTC: $70,293.06 | Distance to Entry: $1,243.06
⌛ 03:11:25 | BTC: $70,309.26 | Distance to Entry: $1,259.26
⌛ 03:11:55 | BTC: $70,337.06 | Distance to Entry: $1,287.06
⌛ 03:12:25 | BTC: $70,361.96 | Distance to Entry: $1,311.96
⌛ 03:12:55 | BTC: $70,364.99 | Distance to Entry: $1,314.99
⌛ 03:13:25 | BTC: $70,372.01 | Distance to Entry: $1,322.01
⌛ 03:13:55 | BTC: $70,356.04 | Distance to Entry: $1,306.04
⌛ 03:14:26 | BTC: $70,384.13 | Distance to Entry: $1,334.13
⌛ 03:14:56 | BTC: $70,392.01 | Distance to Entry: $1,342.01
⌛ 03:15:26 | BTC: $70,392.01 | Distance to Entry: $1,342.01
⌛ 03:15:56 | BTC: $70,421.26 | Distance to Entry: $1,371.26
⌛ 03:16:26 | BTC: $70,465.01 | Distance to Entry: $1,415.01
⌛ 03:16:56 | BTC: $70,488.00 | Distance to Entry: $1,438.00
⌛ 03:17:26 | BTC: $70,488.01 | Distance to Entry: $1,438.01
⌛ 03:17:56 | BTC: $70,498.00 | Distance to Entry: $1,448.00
⌛ 03:18:27 | BTC: $70,656.00 | Distance to Entry: $1,606.00
⌛ 03:18:57 | BTC: $70,707.07 | Distance to Entry: $1,657.07
⌛ 03:19:27 | BTC: $70,726.22 | Distance to Entry: $1,676.22
⌛ 03:19:57 | BTC: $70,738.00 | Distance to Entry: $1,688.00
⌛ 03:20:27 | BTC: $70,711.21 | Distance to Entry: $1,661.21
⌛ 03:20:57 | BTC: $70,718.00 | Distance to Entry: $1,668.00
⌛ 03:21:27 | BTC: $70,780.94 | Distance to Entry: $1,730.94
⌛ 03:21:57 | BTC: $70,822.99 | Distance to Entry: $1,772.99
⌛ 03:22:27 | BTC: $70,766.97 | Distance to Entry: $1,716.97
⌛ 03:22:58 | BTC: $70,764.93 | Distance to Entry: $1,714.93
⌛ 03:23:28 | BTC: $70,731.53 | Distance to Entry: $1,681.53
⌛ 03:23:58 | BTC: $70,687.97 | Distance to Entry: $1,637.97
⌛ 03:24:28 | BTC: $70,643.41 | Distance to Entry: $1,593.41
⌛ 03:24:58 | BTC: $70,641.71 | Distance to Entry: $1,591.71
⌛ 03:25:28 | BTC: $70,578.73 | Distance to Entry: $1,528.73
⌛ 03:25:58 | BTC: $70,620.92 | Distance to Entry: $1,570.92
⌛ 03:26:28 | BTC: $70,603.55 | Distance to Entry: $1,553.55
⌛ 03:26:58 | BTC: $70,605.14 | Distance to Entry: $1,555.14
⌛ 03:27:29 | BTC: $70,615.41 | Distance to Entry: $1,565.41
⌛ 03:27:59 | BTC: $70,616.76 | Distance to Entry: $1,566.76
⌛ 03:28:29 | BTC: $70,659.18 | Distance to Entry: $1,609.18
⌛ 03:28:59 | BTC: $70,632.55 | Distance to Entry: $1,582.55
⌛ 03:29:29 | BTC: $70,618.09 | Distance to Entry: $1,568.09
⌛ 03:29:59 | BTC: $70,623.04 | Distance to Entry: $1,573.04
⌛ 03:30:29 | BTC: $70,574.58 | Distance to Entry: $1,524.58
⌛ 03:30:59 | BTC: $70,595.28 | Distance to Entry: $1,545.28
⌛ 03:31:29 | BTC: $70,659.97 | Distance to Entry: $1,609.97
⌛ 03:32:00 | BTC: $70,657.39 | Distance to Entry: $1,607.39
⌛ 03:32:30 | BTC: $70,662.69 | Distance to Entry: $1,612.69
⌛ 03:33:00 | BTC: $70,671.94 | Distance to Entry: $1,621.94
⌛ 03:33:30 | BTC: $70,672.00 | Distance to Entry: $1,622.00
⌛ 03:34:00 | BTC: $70,775.99 | Distance to Entry: $1,725.99
⌛ 03:34:30 | BTC: $70,774.01 | Distance to Entry: $1,724.01
⌛ 03:35:00 | BTC: $70,740.18 | Distance to Entry: $1,690.18
⌛ 03:35:30 | BTC: $70,752.69 | Distance to Entry: $1,702.69
⌛ 03:36:00 | BTC: $70,727.05 | Distance to Entry: $1,677.05
⌛ 03:36:30 | BTC: $70,765.00 | Distance to Entry: $1,715.00
⌛ 03:37:00 | BTC: $70,800.99 | Distance to Entry: $1,750.99
⌛ 03:37:31 | BTC: $70,805.52 | Distance to Entry: $1,755.52
⌛ 03:38:01 | BTC: $70,826.00 | Distance to Entry: $1,776.00
⌛ 03:38:31 | BTC: $70,892.97 | Distance to Entry: $1,842.97
⌛ 03:39:01 | BTC: $70,855.89 | Distance to Entry: $1,805.89
⌛ 03:39:31 | BTC: $70,818.85 | Distance to Entry: $1,768.85
⌛ 03:40:01 | BTC: $70,752.60 | Distance to Entry: $1,702.60
⌛ 03:40:31 | BTC: $70,760.88 | Distance to Entry: $1,710.88
⌛ 03:41:01 | BTC: $70,791.60 | Distance to Entry: $1,741.60
⌛ 03:41:31 | BTC: $70,789.25 | Distance to Entry: $1,739.25
⌛ 03:42:01 | BTC: $70,770.01 | Distance to Entry: $1,720.01
⌛ 03:42:32 | BTC: $70,738.38 | Distance to Entry: $1,688.38
⌛ 03:43:02 | BTC: $70,744.51 | Distance to Entry: $1,694.51
⌛ 03:43:32 | BTC: $70,745.96 | Distance to Entry: $1,695.96
⌛ 03:44:02 | BTC: $70,748.67 | Distance to Entry: $1,698.67
⌛ 03:44:32 | BTC: $70,737.11 | Distance to Entry: $1,687.11
⌛ 03:45:02 | BTC: $70,702.92 | Distance to Entry: $1,652.92
⌛ 03:45:32 | BTC: $70,715.34 | Distance to Entry: $1,665.34
⌛ 03:46:02 | BTC: $70,707.91 | Distance to Entry: $1,657.91
⌛ 03:46:32 | BTC: $70,723.62 | Distance to Entry: $1,673.62
⌛ 03:47:02 | BTC: $70,707.36 | Distance to Entry: $1,657.36
⌛ 03:47:32 | BTC: $70,699.98 | Distance to Entry: $1,649.98
⌛ 03:48:03 | BTC: $70,672.91 | Distance to Entry: $1,622.91
⌛ 03:48:33 | BTC: $70,661.53 | Distance to Entry: $1,611.53
⌛ 03:49:03 | BTC: $70,680.00 | Distance to Entry: $1,630.00
⌛ 03:49:33 | BTC: $70,676.00 | Distance to Entry: $1,626.00
⌛ 03:50:03 | BTC: $70,673.94 | Distance to Entry: $1,623.94
⌛ 03:50:33 | BTC: $70,719.47 | Distance to Entry: $1,669.47
⌛ 03:51:03 | BTC: $70,721.62 | Distance to Entry: $1,671.62
⌛ 03:51:33 | BTC: $70,706.72 | Distance to Entry: $1,656.72
⌛ 03:52:03 | BTC: $70,729.77 | Distance to Entry: $1,679.77
⌛ 03:52:34 | BTC: $70,699.83 | Distance to Entry: $1,649.83
⌛ 03:53:04 | BTC: $70,665.67 | Distance to Entry: $1,615.67
⌛ 03:53:34 | BTC: $70,670.43 | Distance to Entry: $1,620.43
⌛ 03:54:04 | BTC: $70,654.67 | Distance to Entry: $1,604.67
⌛ 03:54:34 | BTC: $70,658.19 | Distance to Entry: $1,608.19
⌛ 03:55:04 | BTC: $70,644.96 | Distance to Entry: $1,594.96
⌛ 03:55:34 | BTC: $70,677.00 | Distance to Entry: $1,627.00
⌛ 03:56:04 | BTC: $70,708.02 | Distance to Entry: $1,658.02
⌛ 03:56:34 | BTC: $70,731.63 | Distance to Entry: $1,681.63
⌛ 03:57:04 | BTC: $70,718.92 | Distance to Entry: $1,668.92
⌛ 03:57:35 | BTC: $70,720.56 | Distance to Entry: $1,670.56
⌛ 03:58:05 | BTC: $70,684.57 | Distance to Entry: $1,634.57
⌛ 03:58:35 | BTC: $70,719.98 | Distance to Entry: $1,669.98
⌛ 03:59:05 | BTC: $70,744.32 | Distance to Entry: $1,694.32
⌛ 03:59:35 | BTC: $70,758.22 | Distance to Entry: $1,708.22
⌛ 04:00:05 | BTC: $70,790.31 | Distance to Entry: $1,740.31
⌛ 04:00:35 | BTC: $70,802.29 | Distance to Entry: $1,752.29
⌛ 04:01:05 | BTC: $70,785.76 | Distance to Entry: $1,735.76
⌛ 04:01:35 | BTC: $70,824.06 | Distance to Entry: $1,774.06
⌛ 04:02:05 | BTC: $70,858.06 | Distance to Entry: $1,808.06
⌛ 04:02:36 | BTC: $70,844.11 | Distance to Entry: $1,794.11
⌛ 04:03:06 | BTC: $70,822.97 | Distance to Entry: $1,772.97
⌛ 04:03:36 | BTC: $70,824.74 | Distance to Entry: $1,774.74
⌛ 04:04:06 | BTC: $70,814.71 | Distance to Entry: $1,764.71
⌛ 04:04:36 | BTC: $70,810.57 | Distance to Entry: $1,760.57
⌛ 04:05:06 | BTC: $70,827.12 | Distance to Entry: $1,777.12
⌛ 04:05:36 | BTC: $70,856.80 | Distance to Entry: $1,806.80
⌛ 04:06:06 | BTC: $70,877.61 | Distance to Entry: $1,827.61
⌛ 04:06:36 | BTC: $70,883.11 | Distance to Entry: $1,833.11
⌛ 04:07:07 | BTC: $70,918.09 | Distance to Entry: $1,868.09
⌛ 04:07:37 | BTC: $70,844.28 | Distance to Entry: $1,794.28
⌛ 04:08:07 | BTC: $70,885.08 | Distance to Entry: $1,835.08
⌛ 04:08:37 | BTC: $70,847.83 | Distance to Entry: $1,797.83
⌛ 04:09:07 | BTC: $70,897.50 | Distance to Entry: $1,847.50
⌛ 04:09:37 | BTC: $70,893.36 | Distance to Entry: $1,843.36
⌛ 04:10:07 | BTC: $70,875.93 | Distance to Entry: $1,825.93
⌛ 04:10:37 | BTC: $70,893.35 | Distance to Entry: $1,843.35
⌛ 04:11:07 | BTC: $70,895.31 | Distance to Entry: $1,845.31
⌛ 04:11:37 | BTC: $70,859.01 | Distance to Entry: $1,809.01
⌛ 04:12:08 | BTC: $70,802.26 | Distance to Entry: $1,752.26
⌛ 04:12:38 | BTC: $70,751.52 | Distance to Entry: $1,701.52
⌛ 04:13:08 | BTC: $70,747.32 | Distance to Entry: $1,697.32
⌛ 04:13:38 | BTC: $70,722.00 | Distance to Entry: $1,672.00
⌛ 04:14:08 | BTC: $70,743.96 | Distance to Entry: $1,693.96
⌛ 04:14:38 | BTC: $70,710.13 | Distance to Entry: $1,660.13
⌛ 04:15:08 | BTC: $70,705.74 | Distance to Entry: $1,655.74
⌛ 04:15:38 | BTC: $70,694.84 | Distance to Entry: $1,644.84
⌛ 04:16:08 | BTC: $70,752.95 | Distance to Entry: $1,702.95
⌛ 04:16:38 | BTC: $70,740.17 | Distance to Entry: $1,690.17
⌛ 04:17:09 | BTC: $70,731.90 | Distance to Entry: $1,681.90
⌛ 04:17:39 | BTC: $70,720.72 | Distance to Entry: $1,670.72
⌛ 04:18:09 | BTC: $70,736.04 | Distance to Entry: $1,686.04
⌛ 04:18:39 | BTC: $70,734.76 | Distance to Entry: $1,684.76
⌛ 04:19:09 | BTC: $70,755.45 | Distance to Entry: $1,705.45
⌛ 04:19:39 | BTC: $70,749.01 | Distance to Entry: $1,699.01
⌛ 04:20:09 | BTC: $70,793.08 | Distance to Entry: $1,743.08
⌛ 04:20:39 | BTC: $70,765.03 | Distance to Entry: $1,715.03
⌛ 04:21:09 | BTC: $70,785.72 | Distance to Entry: $1,735.72
⌛ 04:21:40 | BTC: $70,775.23 | Distance to Entry: $1,725.23
⌛ 04:22:10 | BTC: $70,777.45 | Distance to Entry: $1,727.45
⌛ 04:22:40 | BTC: $70,748.60 | Distance to Entry: $1,698.60
⌛ 04:23:10 | BTC: $70,768.08 | Distance to Entry: $1,718.08
⌛ 04:23:40 | BTC: $70,770.23 | Distance to Entry: $1,720.23
⌛ 04:24:10 | BTC: $70,750.80 | Distance to Entry: $1,700.80
⌛ 04:24:40 | BTC: $70,752.00 | Distance to Entry: $1,702.00
⌛ 04:25:10 | BTC: $70,759.92 | Distance to Entry: $1,709.92
⌛ 04:25:40 | BTC: $70,746.00 | Distance to Entry: $1,696.00
⌛ 04:26:10 | BTC: $70,746.00 | Distance to Entry: $1,696.00
⌛ 04:26:41 | BTC: $70,745.02 | Distance to Entry: $1,695.02
⌛ 04:27:11 | BTC: $70,676.00 | Distance to Entry: $1,626.00
⌛ 04:27:41 | BTC: $70,625.99 | Distance to Entry: $1,575.99
⌛ 04:28:11 | BTC: $70,618.01 | Distance to Entry: $1,568.01
⌛ 04:28:41 | BTC: $70,578.71 | Distance to Entry: $1,528.71
⌛ 04:29:11 | BTC: $70,541.46 | Distance to Entry: $1,491.46
⌛ 04:29:41 | BTC: $70,556.62 | Distance to Entry: $1,506.62
⌛ 04:30:11 | BTC: $70,533.61 | Distance to Entry: $1,483.61
⌛ 04:30:42 | BTC: $70,527.59 | Distance to Entry: $1,477.59
⌛ 04:31:12 | BTC: $70,485.40 | Distance to Entry: $1,435.40
⌛ 04:31:42 | BTC: $70,462.78 | Distance to Entry: $1,412.78
⌛ 04:32:12 | BTC: $70,425.54 | Distance to Entry: $1,375.54
⌛ 04:32:42 | BTC: $70,332.79 | Distance to Entry: $1,282.79
⌛ 04:33:12 | BTC: $70,210.00 | Distance to Entry: $1,160.00
⌛ 04:33:42 | BTC: $70,197.63 | Distance to Entry: $1,147.63
⌛ 04:34:12 | BTC: $70,273.46 | Distance to Entry: $1,223.46
⌛ 04:34:42 | BTC: $70,282.02 | Distance to Entry: $1,232.02
⌛ 04:35:12 | BTC: $70,184.91 | Distance to Entry: $1,134.91
⌛ 04:35:43 | BTC: $70,180.00 | Distance to Entry: $1,130.00
⌛ 04:36:13 | BTC: $70,226.81 | Distance to Entry: $1,176.81
⌛ 04:36:43 | BTC: $70,329.44 | Distance to Entry: $1,279.44
⌛ 04:37:13 | BTC: $70,299.99 | Distance to Entry: $1,249.99
⌛ 04:37:43 | BTC: $70,294.30 | Distance to Entry: $1,244.30
⌛ 04:38:13 | BTC: $70,257.96 | Distance to Entry: $1,207.96
⌛ 04:38:43 | BTC: $70,254.01 | Distance to Entry: $1,204.01
⌛ 04:39:13 | BTC: $70,226.82 | Distance to Entry: $1,176.82
⌛ 04:39:44 | BTC: $70,238.35 | Distance to Entry: $1,188.35
⌛ 04:40:14 | BTC: $70,268.21 | Distance to Entry: $1,218.21
⌛ 04:40:44 | BTC: $70,293.99 | Distance to Entry: $1,243.99
⌛ 04:41:14 | BTC: $70,292.00 | Distance to Entry: $1,242.00
⌛ 04:41:44 | BTC: $70,296.00 | Distance to Entry: $1,246.00
⌛ 04:42:14 | BTC: $70,306.02 | Distance to Entry: $1,256.02
⌛ 04:42:44 | BTC: $70,301.75 | Distance to Entry: $1,251.75
⌛ 04:43:14 | BTC: $70,301.75 | Distance to Entry: $1,251.75
⌛ 04:43:44 | BTC: $70,230.97 | Distance to Entry: $1,180.97
⌛ 04:44:15 | BTC: $70,262.58 | Distance to Entry: $1,212.58
⌛ 04:44:45 | BTC: $70,305.92 | Distance to Entry: $1,255.92
⌛ 04:45:15 | BTC: $70,272.37 | Distance to Entry: $1,222.37
⌛ 04:45:45 | BTC: $70,276.02 | Distance to Entry: $1,226.02
⌛ 04:46:15 | BTC: $70,290.93 | Distance to Entry: $1,240.93
⌛ 04:46:45 | BTC: $70,343.97 | Distance to Entry: $1,293.97
⌛ 04:47:15 | BTC: $70,331.99 | Distance to Entry: $1,281.99
⌛ 04:47:45 | BTC: $70,359.37 | Distance to Entry: $1,309.37
⌛ 04:48:15 | BTC: $70,363.44 | Distance to Entry: $1,313.44
⌛ 04:48:46 | BTC: $70,359.30 | Distance to Entry: $1,309.30
⌛ 04:49:16 | BTC: $70,406.74 | Distance to Entry: $1,356.74
⌛ 04:49:46 | BTC: $70,380.01 | Distance to Entry: $1,330.01
⌛ 04:50:16 | BTC: $70,355.77 | Distance to Entry: $1,305.77
⌛ 04:50:46 | BTC: $70,337.91 | Distance to Entry: $1,287.91
⌛ 04:51:16 | BTC: $70,334.46 | Distance to Entry: $1,284.46
⌛ 04:51:46 | BTC: $70,349.66 | Distance to Entry: $1,299.66
⌛ 04:52:16 | BTC: $70,330.33 | Distance to Entry: $1,280.33
⌛ 04:52:46 | BTC: $70,388.27 | Distance to Entry: $1,338.27
⌛ 04:53:17 | BTC: $70,420.79 | Distance to Entry: $1,370.79
